,rule,mean_transient,var_transient,mean_period,var_period,m_attractors,derrida_coeff
178,178,inf,inf,0.024317779393853697,-0.5765114260870166,0.6311325140457873,0.75
179,179,0.19226565274489738,0.10883973886056687,0.014212040593022852,-0.625146984874724,0.6554502934396409,0.625
180,180,,,0.2885071147908501,0.23798987617987985,0.7310127254584337,1.0
181,181,0.23056964235460273,0.39512207723521997,0.3345083565584799,0.36308061833002214,0.5555222252737688,0.875
182,182,0.21674800894400453,0.33201606417942753,0.18915630860854987,0.6070373782525091,0.3844535574059864,1.125
183,183,0.21552910190819857,0.4229626449028545,0.18348383721893607,0.643791223474129,0.44099072481035506,0.75
184,184,inf,inf,0.22558092297241816,0.12341218204941092,0.477191213859743,0.75
185,185,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074346,0.445017884703457,0.875
186,186,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
187,187,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
188,188,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
189,189,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
190,190,0.1310075251833508,0.11243063740766385,0.24908152769023212,0.31236426996435046,0.2697684586030401,0.75
191,191,0.052098764386049955,-0.406275644157274,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.375
192,192,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
193,193,0.33477196408480864,0.6862052392029562,0.46439233400880775,1.0792675663770293,0.2247743048644404,0.875
194,194,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
195,195,0.08932448950082528,0.042641614937207396,0.2545104511536078,0.21690650957674287,0.39603899939584314,1.0
196,196,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
197,197,0.1545466302933745,0.1864152038073817,0.0,,0.37088987962363984,0.75
198,198,inf,inf,0.044128138508557374,-0.2912603423790839,0.5224873020296922,1.0
199,199,0.21308990830205338,0.21162501086233454,0.0369944005296477,-0.3031573441579114,0.5499084980126104,0.875
200,200,0.09554081617721434,-0.09211126535198941,0.0,,0.8123479184707969,0.625
201,201,0.12126007234709377,-0.011573703296442434,0.04460196098953827,0.04506747542245765,0.7924459374929772,1.0
202,202,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
203,203,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
204,204,,,0.0,,1.0000000000000007,0.5
205,205,0.14156543716242326,0.01718832462972186,0.0,,0.8756228874672992,0.625
206,206,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
207,207,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
208,208,0.09554081617721434,-0.09211126535198941,0.23487746327190012,0.026856456777993636,0.5774704551988968,0.625
209,209,0.09138587653313127,-0.047682924662017276,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
210,210,,,0.2885071147908501,0.23798987617987982,0.7310127254584337,1.0
211,211,0.16657604018089092,0.021610509818170556,0.21662783257537857,0.019159136416389614,0.5325575758258108,0.875
212,212,inf,inf,0.23585716111044946,0.16176571803969064,0.4778845302896926,0.75
213,213,0.2823324137271294,0.32610921669625176,0.23153162444699785,0.16126004979822608,0.4318697821843264,0.625
214,214,0.21618550986373522,0.2859689153619418,0.293243728558821,0.26204563161801986,0.3355648363144696,1.125
215,215,0.16539742099522853,0.29967570184037173,0.2779294859629314,0.2091136147722096,0.3866669131445321,0.75
216,216,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
217,217,0.17900937463538122,0.09579679828825141,-0.017227995666287934,-0.22223760296512213,0.5304851858335824,0.875
218,218,0.1882978340580969,0.2115540730504354,0.011877103398945862,0.12974576137764152,0.5163837909007332,0.875
219,219,0.09895391614855086,-0.070907379386041,0.0,,0.5416255914566767,0.75
220,220,0.16693474960870638,0.19754549591202458,0.0,,0.6779757351747211,0.625
221,221,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.5
222,222,0.1344438281817875,0.11153128115245659,0.0,,0.6779757351747211,0.75
223,223,0.06596409611722823,-0.23798576009751354,0.0,,0.6960501437852589,0.375
224,224,0.259851042803815,0.3206002533235553,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
225,225,0.6686508487734417,1.2310857059107083,0.37647395175247034,1.2382462724252792,0.44844246460678505,1.0
226,226,inf,inf,0.22558092297241816,0.1234121820494109,0.477191213859743,0.75
227,227,0.226343955698235,0.2752750568044264,0.21762485348657334,0.16596522306074346,0.445017884703457,0.875
228,228,inf,inf,0.03526385591636313,0.31084990487631614,0.5063617355403136,0.75
229,229,0.24109711075763002,0.27156332453675336,0.24684170203184064,0.3496045933927258,0.393061130283456,0.875
230,230,0.1579210094898808,0.1670432691899817,0.24908152769023212,0.3123642699643505,0.2697684586030401,0.875
231,231,0.08515309894908125,-0.06107870144122041,0.2251237367654745,0.2503085095376091,0.3165018546912021,0.75
232,232,0.10104543125405621,0.10638463953971655,-0.005763261047287015,-0.26706823066175234,0.7184502971982387,0.75
233,233,0.15931175083877278,0.14631018775907148,-0.013315059745766558,-0.13589820227001814,0.4716699896508124,1.125
234,234,0.259851042803815,0.3206002533235553,0.24984939642578274,0.1832638396234181,0.42812633874893846,0.625
235,235,0.15287160935273034,0.17152806682846528,0.2168777760680538,0.4904085069724809,0.15401210355558606,0.75
236,236,0.09554081617721434,-0.09211126535198941,0.0,,0.8123479184707969,0.625
237,237,0.09447098296794841,-0.08164224929175626,0.0,,0.5416255914566767,0.75
238,238,0.10467895519803479,0.13895283494543642,0.0,,2.0816681711721685e-17,0.5
239,239,0.04017774482717365,-0.29022813983242157,0.0,,0.0,0.375
240,240,,,0.21810387776989124,-0.14603337218641538,0.7818961222301094,0.5
241,241,0.14156543716242326,0.01718832462972186,0.2095579349777299,-0.0331864210757747,0.6660649524895694,0.625
242,242,0.1344438281817875,0.11153128115245659,0.24984939642578274,0.18326383962341808,0.42812633874893846,0.625
243,243,0.06596409611722823,-0.23798576009751354,0.22743693890874328,0.13968044465949764,0.4686132048765156,0.5
