,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
348,116,12,11,12,2,0.75,40.795918367346935
349,116,14,17,14,2,0.75,76.64928909952607
350,116,16,31,16,2,0.75,143.6710816777042
351,117,12,32,12,6,0.625,11.525993883792049
352,117,14,65,14,6,0.625,17.984936268829664
353,117,16,143,16,8,0.625,28.494149414941493
354,118,12,92,24,23,0.875,10.976608187134502
355,118,14,307,28,21,0.875,14.906796116504854
356,118,16,804,32,35,0.875,23.37188545927854
357,119,12,39,24,1,0.5,3.801875732708089
358,119,14,97,28,1,0.5,5.236771983250857
359,119,16,257,32,1,0.5,7.100865265760198
360,120,12,37,168,85,1.0,4.673130193905817
361,120,14,72,448,153,1.0,3.7053417576105687
362,120,16,155,2688,457,1.0,7.503438432593746
363,121,12,28,36,18,1.125,15.318725099601593
364,121,14,24,28,31,1.125,61.29657794676806
365,121,16,39,176,46,1.125,66.14754098360656
366,122,12,21,36,9,0.875,20.22279792746114
367,122,14,46,14,18,0.875,81.33165829145729
368,122,16,80,14,23,0.875,116.23792486583184
369,123,12,163,2,5,0.75,11.56441717791411
370,123,14,422,2,7,0.75,18.412322274881518
371,123,16,1104,2,7,0.75,28.681159420289855
372,124,12,11,18,35,0.875,42.11578947368421
373,124,14,15,91,38,0.875,47.61721068249258
374,124,16,15,32,95,0.875,228.95087719298246
375,125,12,14,18,14,0.75,25.256410256410255
376,125,14,40,21,11,0.75,41.3359173126615
377,125,16,27,24,20,0.75,138.43829787234043
378,126,12,20,36,8,0.75,20.445026178010473
379,126,14,45,14,18,0.75,82.16751269035532
380,126,16,79,14,21,0.75,116.65888689407541
381,127,12,162,2,1,0.375,11.641975308641975
382,127,14,421,2,1,0.375,18.458432304038006
383,127,16,1103,2,1,0.375,28.70806890299184
384,128,12,2,1,6,0.375,2047.0
385,128,14,2,1,7,0.375,8191.0
386,128,16,2,1,8,0.375,32767.0
387,129,12,20,36,8,0.75,20.445026178010473
388,129,14,45,14,18,0.75,82.16751269035532
389,129,16,79,14,21,0.75,116.65888689407541
390,130,12,12,12,5,0.75,40.37373737373738
391,130,14,18,14,7,0.75,76.28301886792453
392,130,16,32,16,7,0.75,143.352422907489
393,131,12,92,24,23,0.875,10.976608187134502
394,131,14,307,28,21,0.875,14.906796116504854
395,131,16,804,32,35,0.875,23.37188545927854
396,132,12,323,1,5,0.75,11.681114551083592
397,132,14,844,1,6,0.75,18.412322274881518
398,132,16,2208,1,7,0.75,28.681159420289855
399,133,12,147,6,11,0.875,10.770114942528735
400,133,14,320,14,12,0.875,17.810562571756602
401,133,16,747,6,17,0.875,37.03598374927452
402,134,12,29,12,7,1.125,14.515151515151516
403,134,14,51,14,8,1.125,24.842271293375394
404,134,16,93,16,9,1.125,47.04692082111437
405,135,12,12,102,126,1.0,8.503480278422273
406,135,14,18,1428,127,1.0,6.869356388088376
407,135,16,9,6016,287,1.0,5.3682829656981825
408,136,12,2,1,11,0.5,2047.0
409,136,14,2,1,13,0.5,8191.0
410,136,16,2,1,15,0.5,32767.0
411,137,12,11,18,35,0.875,42.11578947368421
412,137,14,15,91,38,0.875,47.61721068249258
413,137,16,15,32,95,0.875,228.95087719298246
414,138,12,77,12,1,0.625,3.801875732708089
415,138,14,193,14,1,0.625,5.236771983250857
416,138,16,514,16,1,0.625,7.100865265760198
417,139,12,11,12,2,0.75,40.795918367346935
418,139,14,17,14,2,0.75,76.64928909952607
419,139,16,31,16,2,0.75,143.6710816777042
