,rule,n_cells,m_attractors,mean_period,var_period,mean_transient,var_transient,derrida_coeff
193,13,14,52,1.0192307692307692,0.018860946745562133,3.2923583984375,2.75791035592556,0.625
194,13,15,69,1.0144927536231885,0.014282713715605962,3.3785400390625,2.795916423201561,0.625
195,13,16,91,1.010989010989011,0.010868252626494384,3.45831298828125,2.8257768414914612,0.625
196,14,3,2,3.5,6.25,0.125,0.109375,0.625
197,14,4,4,1.75,1.6875,0.8125,0.65234375,0.625
198,14,5,3,5.333333333333333,13.555555555555555,0.65625,0.5380859375,0.625
199,14,6,7,3.8571428571428568,6.122448979591838,0.765625,0.554443359375,0.625
200,14,7,4,9.0,29.5,1.2109375,0.94769287109375,0.625
201,14,8,10,5.5,10.05,1.86328125,1.9227142333984373,0.625
202,14,9,8,12.125,39.859375,1.724609375,1.4925193786621094,0.625
203,14,10,19,7.7894736842105265,11.850415512465375,1.8662109375,1.4205770492553709,0.625
204,14,11,13,17.846153846153847,44.591715976331365,2.283203125,2.0760459899902344,0.625
205,14,12,36,10.194444444444443,12.60108024691358,2.970947265625,3.585825860500336,0.625
206,14,13,26,22.538461538461537,44.556213017751475,2.8406982421875,2.785047754645348,0.625
207,14,14,72,12.972222222222221,9.388117283950617,2.97711181640625,2.6904551349580292,0.625
208,14,15,57,26.175438596491233,59.79378270236996,3.396331787109375,3.615107393823564,0.625
209,14,16,155,15.32258064516129,7.302393340270552,4.0905303955078125,5.700498705497012,0.625
210,15,3,2,4.0,4.0,0.0,0.0,0.5
211,15,4,6,2.6666666666666665,1.8888888888888893,0.0,0.0,0.5
212,15,5,4,8.0,12.0,0.0,0.0,0.5
213,15,6,14,4.571428571428571,3.959183673469387,0.0,0.0,0.5
214,15,7,10,12.8,12.96,0.0,0.0,0.5
215,15,8,36,7.111111111111112,4.265432098765433,0.0,0.0,0.5
216,15,9,30,17.066666666666666,12.462222222222222,0.0,0.0,0.5
217,15,10,108,9.481481481481481,3.212620027434844,0.0,0.0,0.5
218,15,11,94,21.78723404255319,4.2100497962879135,0.0,0.0,0.5
219,15,12,352,11.636363636363635,2.765495867768596,0.0,0.0,0.5
220,15,13,316,25.924050632911392,1.817016503765423,0.0,0.0,0.5
221,15,14,1182,13.861252115059221,1.134725335761178,0.0,0.0,0.5
222,15,15,1096,29.8978102189781,2.325323672012361,0.0,0.0,0.5
223,15,16,4116,15.922254616132165,0.7223327203990023,0.0,0.0,0.5
224,16,3,2,2.0,1.0,0.5,0.25,0.375
225,16,4,2,2.5,2.25,0.6875,0.21484375,0.375
226,16,5,2,3.0,4.0,0.8125,0.15234375,0.375
227,16,6,3,3.333333333333333,4.222222222222221,0.84375,0.1318359375,0.375
228,16,7,3,5.0,8.0,0.8828125,0.10345458984375,0.375
229,16,8,4,5.25,8.6875,0.91796875,0.0753021240234375,0.375
230,16,9,5,6.2,12.159999999999998,0.939453125,0.056880950927734375,0.375
231,16,10,6,7.666666666666668,12.222222222222221,0.955078125,0.042903900146484375,0.375
232,16,11,7,9.571428571428571,12.244897959183676,0.96728515625,0.031644582748413086,0.375
233,16,12,11,8.909090909090908,17.900826446280988,0.97607421875,0.02335333824157715,0.375
234,16,13,12,12.0,11.0,0.982421875,0.017269134521484375,0.375
235,16,14,17,12.411764705882351,13.183391003460207,0.98712158203125,0.012712564319372177,0.375
236,16,15,23,13.434782608695652,16.680529300567105,0.990570068359375,0.009341008029878141,0.375
237,16,16,31,14.612903225806454,14.108220603537974,0.9930877685546876,0.006864452501758933,0.375
238,17,3,2,2.5,0.25,0.375,0.234375,0.5
239,17,4,2,5.0,9.0,0.375,0.234375,0.5
240,17,5,3,5.666666666666668,10.888888888888893,0.46875,0.2490234375,0.5
241,17,6,4,7.25,22.6875,0.546875,0.247802734375,0.5
242,17,7,5,10.2,24.160000000000004,0.6015625,0.23968505859375,0.5
243,17,8,7,12.857142857142858,27.26530612244898,0.6484375,0.22796630859375,0.5
244,17,9,11,14.363636363636365,37.867768595041326,0.69140625,0.2133636474609375,0.5
245,17,10,16,17.3125,33.33984375,0.7294921875,0.19733333587646484,0.5
246,17,11,24,20.25,23.6875,0.7626953125,0.18099117279052732,0.5
247,17,12,39,21.871794871794872,33.13740959894807,0.791748046875,0.1648830771446228,0.5
248,17,13,60,24.95,16.947499999999998,0.8172607421875,0.14934562146663666,0.5
249,17,14,97,27.082474226804123,16.735466043150172,0.83966064453125,0.13463064655661586,0.5
250,17,15,159,28.993710691823896,20.610023337684428,0.85931396484375,0.1208934746682644,0.5
251,17,16,257,31.47859922178988,10.451876637042199,0.876556396484375,0.10820528026670218,0.5
252,18,3,1,1.0,0.0,1.25,0.4375,0.75
253,18,4,3,1.6666666666666667,0.2222222222222222,0.9375,0.55859375,0.75
254,18,5,6,1.8333333333333333,0.13888888888888887,0.65625,0.2255859375,0.75
255,18,6,4,1.75,0.1875,1.96875,2.1240234375,0.75
256,18,7,1,1.0,0.0,3.0703125,1.73724365234375,0.75
257,18,8,7,4.142857142857143,4.6938775510204085,1.90234375,2.314682006835937,0.75
258,18,9,19,3.842105263157895,4.238227146814406,1.056640625,0.4089012145996094,0.75
