rule,kr*,ks*,r(0),r(1),r(2),s(0),s(1),s(2)
221,0.5833333333333334,0.0,1.0,0.5,0.5,0.0,0.0,0.0
222,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.625,0.375,0.625
223,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.25,0.0,0.25
224,0.5,0.2777777777777778,0.25,0.75,0.75,0.0,1.25,1.25
225,0.25,0.2222222222222222,0.0,0.5,0.5,0.0,1.0,1.0
226,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.75,0.0
227,0.2916666666666667,0.05555555555555555,0.25,0.25,0.75,0.0,0.25,0.25
228,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.75,0.0,0.75
229,0.2916666666666667,0.05555555555555555,0.25,0.75,0.25,0.0,0.25,0.25
230,0.2916666666666667,0.16666666666666666,0.75,0.25,0.25,0.0,0.75,0.75
231,0.25,0.1111111111111111,0.5,0.5,0.5,0.0,0.5,0.5
232,0.3333333333333333,0.5,0.5,0.5,0.5,1.5,1.5,1.5
233,0.16666666666666666,0.375,0.25,0.25,0.25,1.125,1.125,1.125
234,0.5,0.16666666666666666,0.75,0.75,0.25,0.75,0.75,0.0
235,0.4166666666666667,0.1111111111111111,0.5,0.5,0.5,0.5,0.5,0.0
236,0.5,0.16666666666666666,0.75,0.25,0.75,0.75,0.0,0.75
237,0.4166666666666667,0.1111111111111111,0.5,0.5,0.5,0.5,0.0,0.5
238,0.5833333333333334,0.1111111111111111,1.0,0.5,0.5,0.0,0.5,0.5
239,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.0,0.25,0.25
240,0.6666666666666666,0.2222222222222222,0.0,1.0,1.0,0.0,1.0,1.0
241,0.5,0.16666666666666666,0.25,0.75,0.75,0.0,0.75,0.75
242,0.5,0.1111111111111111,0.25,0.75,0.75,0.5,0.0,0.5
243,0.5833333333333334,0.0,0.5,0.5,1.0,0.0,0.0,0.0
244,0.5,0.1111111111111111,0.25,0.75,0.75,0.5,0.5,0.0
245,0.5833333333333334,0.0,0.5,1.0,0.5,0.0,0.0,0.0
246,0.4166666666666667,0.18055555555555555,0.5,0.5,0.5,0.375,0.625,0.625
247,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.0,0.25,0.25
248,0.5,0.16666666666666666,0.25,0.75,0.75,0.0,0.75,0.75
249,0.4166666666666667,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,0.5
250,0.5833333333333334,0.1111111111111111,0.5,1.0,0.5,0.5,0.0,0.5
251,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.25,0.0,0.25
252,0.5833333333333334,0.1111111111111111,0.5,0.5,1.0,0.5,0.5,0.0
253,0.5833333333333334,0.05555555555555555,0.75,0.75,0.75,0.25,0.25,0.0
254,0.5833333333333334,0.125,0.75,0.75,0.75,0.375,0.375,0.375
255,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
